epoch,step,train_loss_step
0,9,2.3007678985595703
0,19,2.307835340499878
0,29,2.292480707168579
0,39,2.2991714477539062
0,49,2.299978733062744
0,59,2.295381784439087
0,69,2.285950183868408
0,79,2.284818649291992
0,89,2.2675092220306396
0,99,2.247619152069092
0,109,2.237204074859619
0,119,2.105602741241455
0,129,2.136223077774048
0,139,1.8990873098373413
0,149,1.9595139026641846
0,159,2.16762638092041
0,169,1.9882514476776123
0,179,1.526599407196045
0,189,1.4758319854736328
0,199,1.5498909950256348
0,209,1.581856369972229
0,219,1.4711931943893433
0,229,1.7567989826202393
