epoch,step,train_loss_step
0,9,2.3007678985595703
0,19,2.307835340499878
0,29,2.292480707168579
0,39,2.299170970916748
0,49,2.2999796867370605
0,59,2.2953836917877197
0,69,2.285947561264038
0,79,2.284813404083252
0,89,2.26749324798584
0,99,2.2475712299346924
0,109,2.2370123863220215
0,119,2.105394124984741
0,129,2.137969493865967
0,139,1.9057703018188477
0,149,1.9428670406341553
0,159,2.0731067657470703
0,169,1.9747227430343628
0,179,1.473444938659668
0,189,1.4267070293426514
0,199,1.5996625423431396
0,209,1.7319104671478271
0,219,1.7874096632003784
0,229,1.5679715871810913
