epoch,step,train_loss_step
0,9,2.3007678985595703
0,19,2.307835340499878
0,29,2.292480707168579
0,39,2.2991714477539062
0,49,2.299978733062744
0,59,2.295381784439087
0,69,2.285950183868408
0,79,2.284818649291992
0,89,2.2675092220306396
0,99,2.2476024627685547
0,109,2.2372121810913086
0,119,2.105503559112549
0,129,2.1409976482391357
0,139,1.9086558818817139
0,149,1.9405312538146973
0,159,2.066864490509033
0,169,1.8461182117462158
0,179,1.5622893571853638
0,189,1.6148622035980225
0,199,1.509769320487976
0,209,1.3973286151885986
0,219,1.5151931047439575
0,229,1.6707566976547241
